initial_payment,car,price,months_term,miles_per_annum
"£3,518.91 ex VAT",BMW X3 Suv xDrive30d M Sport 5dr Step Auto [2018.75],£390.99,48,"5,000"
"£3,518.91 ex VAT",Volvo Xc90 Suv 2.0 T6 [310] R DESIGN 5dr AWD Geartronic [2019],£390.99,48,"5,000"
"£3,536.91 ex VAT",BMW 5 Series Saloon 540i xDrive M Sport 4dr Auto [2018.75],£392.99,48,"5,000"
"£3,563.91 ex VAT",Land Rover Discovery Suv 2.0 SD4 S 5dr Auto [2019],£395.99,48,"5,000"
"£3,617.91 ex VAT",Audi Rs3 Hatchback 2.5 TFSI RS 3 Quattro 5dr S Tronic [2018],£401.99,48,"5,000"
"£3,626.91 ex VAT",Lexus Rc Coupe 300h 2.5 F-Sport 2dr CVT [Premium Navigation] [2018],£402.99,48,"8,000"
"£3,671.91 ex VAT",Audi Rs3 Saloon 2.5 TFSI RS 3 Quattro 4dr S Tronic [2018],£407.99,48,"5,000"
"£3,680.91 ex VAT",BMW 6 Series Hatchback 630d M Sport 5dr Auto [2018.5],£408.99,48,"5,000"
"£3,752.91 ex VAT",BMW X4 Estate xDrive M40d 5dr Step Auto [2019],£416.99,48,"5,000"
"£3,752.91 ex VAT",Land Rover Range Rover Evoque Suv 2.0 TD4 HSE Dynamic Lux 5dr Auto [2019],£416.99,48,"5,000"
"£3,779.91 ex VAT",Audi Q7 Suv 3.0 TDI 218 Quattro SE 5dr Tip Auto [2018],£419.99,48,"5,000"
"£3,788.91 ex VAT",Jaguar F-type Coupe 2.0 R-Dynamic 2dr Auto [2019.5],£420.99,48,"5,000"
"£3,797.91 ex VAT",Volvo Xc90 Suv 2.0 T8 [390] Hybrid R DESIGN 5dr AWD Gtron [2019],£421.99,48,"5,000"
"£3,806.91 ex VAT",Land Rover Range Rover Sport Suv 2.0 Si4 HSE 5dr Auto [2019],£422.99,48,"5,000"
"£3,833.91 ex VAT",Jaguar F-type Coupe 2.0 2dr Auto [2019.5],£425.99,48,"5,000"
"£3,842.91 ex VAT",Land Rover Range Rover Evoque Conve... 2.0 TD4 HSE Dynamic 2dr Auto [2019],£426.99,48,"5,000"
"£3,860.91 ex VAT",BMW 7 Series Saloon 740e Exclusive 4dr Auto [2018.75],£428.99,48,"5,000"
"£3,860.91 ex VAT",Porsche Boxster Convertible 2.0 2dr [2018],£428.99,48,"5,000"
"£3,914.91 ex VAT",Audi Q7 Suv 3.0 TDI 218 Quattro S Line 5dr Tip Auto [2018],£434.99,48,"5,000"
"£3,923.91 ex VAT",BMW 7 Series Saloon 740Ld xDrive M Sport 4dr Auto [2018.75],£435.99,24,"5,000"
"£3,932.91 ex VAT",Audi A5 Coupe S5 Quattro 2dr Tiptronic [2018],£436.99,48,"5,000"
"£3,941.91 ex VAT",Porsche Boxster Convertible 2.0 2dr PDK [2018],£437.99,48,"5,000"
"£3,950.91 ex VAT",Lexus Rx Suv 450h 3.5 Sport 5dr CVT [2018.5],£438.99,48,"5,000"
"£3,959.91 ex VAT",Jaguar I-pace Estate 90kWh EV400 SE 5dr Auto [2019],£439.99,24,"5,000"
"£3,959.91 ex VAT",Audi A5 Hatchback S5 Quattro 5dr Tiptronic [2018],£439.99,48,"5,000"
"£3,968.91 ex VAT",Land Rover Discovery Suv 2.0 SD4 SE 5dr Auto [2019],£440.99,48,"5,000"
"£4,031.91 ex VAT",Jaguar Xj Saloon 3.0d V6 Luxury 4dr Auto [2019],£447.99,48,"5,000"
"£4,175.91 ex VAT",Audi A7 Hatchback 55 TFSI Quattro Sport 5dr S Tronic [2019],£463.99,48,"5,000"
"£4,202.91 ex VAT",Mercedes-Benz Gle Estate GLE 350d 4Matic AMG Night Edition 5dr 9G-Tronic [2019],£466.99,48,"5,000"
"£4,220.91 ex VAT",Audi A8 Saloon 50 TDI Quattro 4dr Tiptronic [2018],£468.99,48,"5,000"
"£4,229.91 ex VAT",Land Rover Range Rover Sport Suv 3.0 SDV6 HSE 5dr Auto [2019],£469.99,48,"5,000"
"£4,238.91 ex VAT",Audi A5 Convertible S5 Quattro 2dr Tiptronic [2018],£470.99,48,"5,000"
"£4,238.91 ex VAT",BMW M4 Coupe M4 2dr DCT [Competition Pack] [2018.5],£470.99,48,"5,000"
"£4,265.91 ex VAT",Jaguar F-type Coupe 3.0 Supercharged V6 2dr [2019.5],£473.99,48,"5,000"
"£4,292.91 ex VAT",BMW 7 Series Saloon 730d 4dr Auto [2018.75],£476.99,48,"5,000"
"£4,301.91 ex VAT",Audi A7 Hatchback 50 TDI Quattro Sport 5dr Tip Auto [2019],£477.99,48,"5,000"
"£4,319.91 ex VAT",Audi A7 Hatchback 50 TDI Quattro S Line 5dr Tip Auto [2019],£479.99,48,"5,000"
"£4,355.91 ex VAT",Audi A7 Hatchback 55 TFSI Quattro S Line 5dr S Tronic [2019],£483.99,48,"5,000"
"£4,355.91 ex VAT",Land Rover Range Rover Sport Suv 3.0 SDV6 HSE 5dr Auto [7 seat] [2019],£483.99,48,"5,000"
"£4,373.91 ex VAT",Mercedes-Benz Gle Estate GLE 350d 4Matic AMG Night Ed Prem + 5dr 9G-Tronic [2018.5],£485.99,48,"10,000"
"£4,391.91 ex VAT",BMW M4 Convertible M4 2dr DCT [Competition Pack] [2018.5],£487.99,48,"5,000"
"£4,427.91 ex VAT",Mercedes-Benz Cls Coupe CLS 350d 4Matic AMG Line 4dr 9G-Tronic [2019],£491.99,48,"10,000"
"£4,436.91 ex VAT",Audi A6 Estate S6 TFSI Quattro Black Edition 5dr S Tronic [2018],£492.99,48,"5,000"
"£4,445.91 ex VAT",Audi Q7 Suv 3.0 TDI Quattro S Line 5dr Tip Auto [2018],£493.99,48,"5,000"
"£4,463.91 ex VAT",Mercedes-Benz S Class Saloon S350d L AMG Line 4dr 9G-Tronic [2019],£495.99,24,"10,000"
"£4,490.91 ex VAT",Audi A6 Estate S6 TFSI Quattro 5dr S Tronic [2018],£498.99,48,"5,000"
"£4,508.91 ex VAT",Audi A8 Saloon L 55 TFSI Quattro 4dr Tiptronic [2018],£500.99,48,"5,000"
